id,completed,first_name,last_name,gender,dob,educ,marit,start,jtype,whours,salary,overall,q1,q2,q3,q4,q5,q6,q7,q8,q9
93,01/31/2017 11:29:37,Faith,Smith,0,07/17/1979,3,1,01/27/2001,1,0,1775.83,7,7,6,6,8,4,6,7,4,4
94,01/31/2017 11:51:08,Gabriella,Young,0,10/20/1995,3,2,01/14/2016,2,33.75,3629.47,7,5,5,4,7,6,5,6,0,9
95,01/31/2017 12:34:07,Camila,Johnson,0,03/17/1973,5,3,11/01/2012,3,33.5,4977.71,7,8,6,5,0,0,6,5,4,8
96,01/31/2017 12:44:13,Joseph,Gonzalez,1,03/04/1977,5,3,05/16/1998,2,33.75,2939,7,7,11,6,10,8,10,5,5,7
97,01/31/2017 13:09:07,Harper,Garcia,0,09/11/1978,4,1,04/13/2010,1,23.75,1765,8,9,8,6,9,10,5,7,6,9
98,01/31/2017 13:13:27,Jocelyn,Evans,0,01/22/1980,6,2,02/16/2004,3,38,5764.59,8,3,5,5,7,5,5,6,9,9
99,01/31/2017 13:16:55,Gabriel,Green,1,01/11/1977,5,1,01/19/2005,2,28.75,2848,5,5,4,3,7,7,11,11,3,5
100,01/31/2017 13:22:44,Ethan,Harris,1,11/28/1982,3,1,05/01/2015,1,27.5,1795.06,7,0,8,6,10,4,7,5,4,10
101,01/31/2017 13:37:05,Allison,Evans,0,01/13/1971,5,2,04/01/1992,3,30.75,4282,8,9,7,7,9,5,5,6,5,8
102,01/31/2017 13:42:22,Zoe,Young,0,12/26/1993,3,1,05/26/2015,2,35.5,3690.74,7,2,0,2,6,7,6,5,5,6
103,01/31/2017 14:03:54,Kayden,Jackson,1,01/02/1989,4,1,09/14/2013,1,33.25,2121.91,6,5,3,4,5,9,6,5,7,4
104,01/31/2017 14:40:09,Amelia,Anderson,0,06/07/1987,5,3,10/08/2014,2,34.5,3342,0,0,6,6,5,5,4,7,2,7
105,01/31/2017 15:29:38,Oliver,Brown,1,04/15/1973,6,1,08/16/1995,2,27.5,3275.69,0,7,7,5,8,2,5,6,4,8
106,01/31/2017 15:40:55,Lily,Edwards,0,03/20/1950,4,4,12/26/1977,2,30.5,3884.97,7,9,6,4,6,6,8,6,4,6
107,01/31/2017 17:08:25,Luke,Walker,1,11/13/1995,4,1,06/02/2016,1,34.5,1975,6,7,5,2,11,7,7,5,11,4
108,01/31/2017 17:35:15,Layla,Jackson,0,07/29/1984,3,2,12/29/2015,2,25,2669,6,6,6,2,6,7,5,6,4,4
109,01/31/2017 17:48:50,Benjamin,King,1,12/13/1986,4,2,06/02/2008,1,22,1512.71,6,4,2,3,8,5,5,7,6,5
110,01/31/2017 18:32:24,Jacob,Scott,1,03/25/1972,6,2,08/04/1995,3,40.25,7388.03,7,6,5,5,6,4,4,3,5,7
111,01/31/2017 18:47:19,Faith,Robinson,0,09/02/1978,4,2,10/14/2000,1,29,1855,5,4,5,4,7,6,7,7,5,10
112,01/31/2017 19:19:44,Khloe,Gonzalez,0,12/02/1988,4,1,01/15/2015,2,31.75,2463,9,5,7,6,7,0,10,8,9,11
113,02/01/2017 09:54:06,Kylie,Lewis,0,12/18/1959,4,2,12/05/1989,4,34.5,10010.38,8,6,3,7,7,5,5,7,9,5
114,02/01/2017 10:07:27,Emily,Thompson,0,04/05/1971,3,1,09/27/1991,6,39,12828,7,7,7,5,10,8,6,7,6,9
115,02/01/2017 10:37:33,Genesis,Lewis,0,03/04/1967,2,2,09/01/2005,1,20.25,1616.36,7,6,2,6,10,0,8,7,5,6
116,02/01/2017 11:28:02,Madeline,Williams,0,01/17/1966,5,2,08/28/2014,6,25.25,3052.7,7,3,3,4,8,5,4,4,3,4
117,02/01/2017 11:45:57,Jose,Johnson,1,09/14/1988,4,2,07/29/2014,2,33.75,2062.88,6,2,2,4,6,6,3,7,4,5
118,02/01/2017 11:50:08,Juan,Martin,0,03/20/1980,4,2,04/29/2001,1,28.25,2014.66,7,9,6,4,9,4,3,5,5,7
119,02/01/2017 11:52:18,Michael,King,1,04/22/1985,4,1,01/31/2014,2,37.5,3240.8,0,8,6,6,5,4,7,6,5,6
120,02/01/2017 12:42:42,Madeline,Walker,0,01/15/1970,3,1,11/23/2012,1,24.25,1865.25,6,5,5,5,6,6,6,4,4,6
121,02/01/2017 13:02:54,Thomas,Davis,1,05/28/1983,5,1,09/16/2010,1,36.25,2125,7,4,6,5,9,5,7,10,7,5
122,02/01/2017 13:09:01,Skylar,Perez,0,12/26/1967,2,2,10/06/2008,2,27,1000000,7,6,7,4,10,9,5,5,5,10
123,02/01/2017 13:39:26,Penelope,Baker,0,09/02/1985,3,2,01/29/2016,1,29.75,1927.09,0,2,0,7,5,3,3,11,4,3
124,02/01/2017 14:00:53,Skylar,Brown,0,11/25/1962,5,2,01/07/2001,2,16.5,2024.88,7,7,5,4,8,6,9,9,7,5
125,02/01/2017 14:07:51,Colton,Lewis,1,12/10/1983,5,1,11/30/2014,1,33.5,1899.61,7,5,4,7,9,8,8,6,6,10
126,02/01/2017 14:52:35,Sofia,Hall,0,11/21/1973,4,2,04/27/2005,1,24,1818.76,7,6,4,7,9,8,9,11,5,9
127,02/01/2017 14:53:58,Mia,Walker,0,07/22/1981,4,1,12/29/2003,1,23.5,1525.2,7,6,8,8,9,2,5,4,6,7
128,02/01/2017 14:57:12,Violet,Roberts,0,04/17/1964,5,3,10/27/2002,2,16.5,2135,8,10,11,6,9,7,6,5,8,8
129,02/01/2017 15:10:42,Joshua,Hernandez,1,09/04/1992,5,3,10/07/2015,2,37.5,2311,7,3,2,4,6,8,11,7,8,9
130,02/01/2017 15:43:20,Isabella,Scott,0,05/13/1984,4,2,02/01/2010,1,0,1460.06,7,8,10,5,10,7,7,4,2,8
131,02/01/2017 15:51:35,Arianna,Walker,0,10/20/1979,4,3,01/07/2005,1,28.5,1729.27,8,11,7,5,0,6,4,9,6,6
132,02/01/2017 15:52:13,Dylan,Johnson,1,05/14/1986,2,1,05/19/2015,1,33,2013,0,3,4,2,8,5,0,7,2,5
133,02/01/2017 15:52:16,Katherine,Jones,0,01/25/1981,3,2,02/09/2014,1,20,1414,6,4,5,1,6,6,6,8,3,5
134,02/01/2017 15:55:51,Joseph,Hill,1,08/30/1992,4,1,07/24/2013,3,40.25,0,7,5,5,7,8,4,9,5,4,9
135,02/01/2017 16:02:39,Jose,Anderson,1,01/13/1986,6,1,01/21/2012,2,39,3875,8,10,10,7,7,5,5,6,4,8
136,02/01/2017 17:04:42,Bella,Smith,0,10/05/1972,4,3,08/11/1999,2,25.75,2174.5,7,2,4,0,10,6,8,5,7,7
137,02/01/2017 17:05:49,Justin,Rodriguez,1,04/05/1983,4,1,03/24/2006,1,31.75,1879,6,4,3,7,10,4,4,5,6,5
138,02/01/2017 17:39:53,Isaac,Evans,1,04/19/1977,2,1,05/14/2003,1,21.75,1440.76,6,6,5,4,9,5,8,8,4,7
139,02/01/2017 17:48:06,Serenity,Edwards,0,06/09/1983,3,1,09/08/2009,1,34.5,2382,6,5,2,6,11,7,8,7,4,5
140,02/01/2017 18:01:43,Samantha,Hill,0,04/01/1964,6,4,05/21/1986,1,25.25,2063.47,7,6,6,4,8,11,4,7,4,7
141,02/01/2017 18:09:42,Josiah,Gonzalez,1,03/20/1981,3,1,09/25/2014,1,30,2263,6,6,8,6,8,4,3,5,4,6
142,02/01/2017 19:57:31,Addison,Anderson,0,02/23/1989,5,1,08/10/2010,3,33,5717.78,7,7,7,7,5,8,8,8,9,7
143,02/01/2017 20:13:05,Ian,Phillips,1,12/18/1981,4,3,11/25/2009,1,28.75,1840,7,4,3,5,6,9,9,9,5,7
144,02/02/2017 04:54:59,Sebastian,Nelson,1,02/25/1992,4,3,10/30/2012,6,33.75,1774.5,7,5,2,4,11,3,3,5,4,11
145,02/02/2017 07:16:01,Mia,Adams,0,03/13/1982,1,2,04/21/2009,1,21.5,1578,6,7,8,3,7,2,2,5,3,8
146,02/02/2017 09:31:39,Lauren,Evans,0,02/18/1970,7,4,01/18/1997,4,36,8900.76,7,8,5,5,6,6,9,5,8,8
147,02/02/2017 11:16:28,Leah,Jones,0,01/28/1985,4,5,08/14/2014,6,36.75,6486.08,6,6,4,2,5,6,5,6,5,8
148,02/02/2017 11:41:17,Tristan,Phillips,1,09/03/1995,4,1,07/29/2019,1,31,1908,7,5,2,5,6,7,7,5,4,7
149,02/02/2017 11:56:11,Nathaniel,Thomas,1,05/08/1978,4,3,01/21/2016,4,41.5,13367.54,8,7,5,4,10,7,5,10,6,7
150,02/02/2017 11:57:23,Eli,Jackson,1,07/18/1994,4,2,09/26/2014,6,34.5,1835.25,6,4,3,7,7,4,3,2,5,6
151,02/02/2017 13:18:48,Gianna,Thompson,0,02/09/1972,4,2,01/05/2010,1,20,1601.35,6,10,7,4,6,6,9,9,4,5
152,02/02/2017 13:26:58,Lucas,Allen,1,11/06/1990,5,1,10/04/2016,2,34.25,2863.37,7,7,4,6,9,4,5,5,3,6
153,02/02/2017 13:37:41,Harper,Lewis,0,07/05/1984,3,2,03/20/2016,1,25.25,1841.26,8,4,5,4,10,8,8,10,8,8
154,02/02/2017 14:15:14,Evelyn,Phillips,0,08/31/1978,3,2,11/25/2015,2,31.25,3657,6,5,3,5,8,7,6,4,7,7
155,02/02/2017 14:36:31,Sadie,Clark,0,12/11/1975,2,2,07/18/2011,1,21,1526.43,6,9,5,3,6,4,7,7,3,7
156,02/02/2017 14:41:00,David,Lopez,1,12/26/1985,4,2,10/19/2013,2,33.25,0,5,4,2,5,7,10,10,10,5,7
157,02/02/2017 15:06:39,Evan,Garcia,1,10/11/1975,5,2,03/16/2016,5,42.25,15440.64,5,3,3,5,7,5,7,5,3,4
158,02/02/2017 15:07:29,Aiden,Walker,1,09/14/1988,4,1,10/10/2015,2,39.25,3699,6,5,3,5,8,3,4,3,4,8
159,02/02/2017 16:44:55,Evelyn,Hill,0,09/28/1981,5,2,12/12/2010,6,28,3434,6,8,6,4,9,9,9,8,5,5
160,02/02/2017 16:51:58,Piper,Hall,0,01/25/1980,6,2,06/14/2016,2,27,2400.01,7,3,3,6,10,9,8,6,4,8
161,02/02/2017 18:08:16,Daniel,Collins,1,04/27/1969,3,2,10/22/1993,1,23,1571,5,4,5,3,9,2,7,4,2,6
162,02/02/2017 18:13:33,Sadie,Lopez,0,06/29/1989,3,1,01/23/2015,2,31.75,2622,5,8,6,5,8,3,5,5,3,6
163,02/02/2017 18:38:32,Nathan,Harris,1,05/15/1980,5,4,09/14/2005,1,27,1726.19,6,9,7,5,8,7,9,9,5,8
164,02/02/2017 18:47:14,Brody,Lee,1,04/23/1969,0,3,08/11/2000,4,42,13467.86,7,6,9,5,9,9,9,7,4,8
165,02/02/2017 18:57:50,Skylar,Johnson,0,03/15/1968,0,1,06/12/1994,3,31,5830.72,6,6,3,4,10,4,7,7,4,11
166,02/02/2017 20:37:02,Alexis,Rodriguez,0,08/26/1995,5,2,10/19/2016,2,33.25,2067.91,6,8,0,6,7,8,9,7,7,6
167,02/03/2017 06:54:43,Hunter,Wilson,1,12/10/1982,4,2,11/22/2011,5,45.5,21641,7,4,2,4,10,7,8,9,11,6
168,02/03/2017 10:08:15,Emily,Baker,0,11/20/1973,3,2,09/05/1995,4,0,18080.34,6,10,8,7,10,9,9,10,3, 
169,02/03/2017 11:00:03,Audrey,Rodriguez,0,01/01/1996,4,1,07/27/2016,1,32.5,2137,6,8,11,11,7,6,5,5,2,4
170,02/03/2017 11:17:33,Kylie,Nelson,0,02/28/1971,5,2,10/31/1992,2,28.25,2191,7,4,7,6,6,6,4,4,5,9
171,02/03/2017 11:32:07,Serenity,Collins,0,05/03/1985,4,1,04/16/2013,6,24.5,1610.87,5,4,5,4,7,2,4,6,3,10
172,02/03/2017 11:35:00,Khloe,Hill,0,08/07/1981,6,2,03/10/2002,1,27,1705,7,5,3,5,6,6,6,6,7,8
173,02/03/2017 11:39:27,Nora,Hernandez,0,07/08/1990,1,1,07/13/2016,1,26.5,1571.9,6,5,1,1,8,6,6,4,5,6
174,02/03/2017 12:38:08,Claire,Evans,0,03/31/1979,4,2,12/08/2009,2,27.25,3856.79,8,7,6,4,10,8,11,4,6,6
175,02/03/2017 13:04:29,Tyler,Johnson,1,01/30/1968,4,2,11/28/1991,2,37,4455.34,7,4,4,8,9,6,9,6,7,6
176,02/03/2017 13:16:07,Riley,Young,0,11/10/1982,4,3,08/03/2012,2,19.75,1585.38,8,10,5,5,10,7,8,4,8,7
177,02/03/2017 13:16:22,Madeline,Harris,0,01/22/1967,0,3,07/21/2001,4,35.75,16840,7,5,3,4,7,3,4,6,4,8
178,02/03/2017 13:32:58,Luis,Hall,1,03/04/1987,4,1,09/21/2009,2,29.75,2135,6,6,1,6,0,0,7,5,5,7
179,02/03/2017 13:52:54,Matthew,Miller,1,10/18/1986,4,2,08/10/2009,1,30.5,1984.92,7,3,2,7,0,4,5,4,8,7
180,02/03/2017 13:53:20,Luis,Davis,1,08/14/1988,5,1,05/01/2014,2,33.5,2948,6,9,2,4,6,0,5,5,5,6
181,02/03/2017 14:10:43,Kylie,Martin,0,02/20/1983,4,3,06/21/2008,1,22.5,1530.46,6,4,3,5,6,6,5,5,2,8
182,02/03/2017 14:30:33,Bella,Taylor,0,05/03/1995,3,1,08/01/2015,1,26,1474,6,4,2,4,9,4,4,4,5,7
183,02/03/2017 14:34:06,Alexandra,Hill,0,12/26/1993,4,3,10/02/2015,1,32.5,2062,6,8,7,4,8,3,4,3,4,5
184,02/03/2017 14:37:31,Ava,Baker,0,09/17/1987,4,1,06/16/2012,1,24.5,1469,8,5,2,5,10,4,0,5,7,6
185,02/03/2017 15:37:57,Jace,Parker,1,06/22/1973,5,3,08/26/2000,3,40.5,6304.67,8,5,6,8,9,10,9,10,7,4
186,02/03/2017 15:41:40,Alexander,Miller,1,04/07/1996,5,1,12/26/2016,1,36,1875.25,7,5,5,3,7,6,7,6,7,4
187,02/03/2017 16:09:55,Anthony,Collins,1,01/08/1981,5,2,12/09/2009,3,36.5,6049,11,8,5,6,10,7,4,6,0,10
